customer_id,customer,region,segment,industry,order_month,ending_mrr,new_mrr,expansion_mrr,contraction_mrr,churned_mrr
1001,"Abbott Laboratories",AMER,Enterprise,Healthcare,2020-01-01,0,0,0,0,0
1001,"Abbott Laboratories",EMEA,Strategic,Healthcare,2020-01-01,0,0,0,0,0
1001,"Abbott Laboratories",AMER,Strategic,Healthcare,2020-01-01,0,0,0,0,0
1001,"Abbott Laboratories",EMEA,SMB,Healthcare,2020-01-01,0,0,0,0,0
1001,"Abbott Laboratories",APJ,SMB,Healthcare,2020-01-01,0,0,0,0,0
1001,"Abbott Laboratories",AMER,SMB,Healthcare,2020-01-01,0,0,0,0,0
1001,"Abbott Laboratories",APJ,Enterprise,Healthcare,2020-01-01,0,0,0,0,0
1001,"Abbott Laboratories",EMEA,Enterprise,Healthcare,2020-01-01,0,0,0,0,0
1002,Aetna,APJ,SMB,Healthcare,2020-01-01,0,0,0,0,0
1002,Aetna,AMER,SMB,Healthcare,2020-01-01,0,0,0,0,0
1002,Aetna,EMEA,SMB,Healthcare,2020-01-01,0,0,0,0,0
1002,Aetna,AMER,Strategic,Healthcare,2020-01-01,0,0,0,0,0
1002,Aetna,APJ,Strategic,Healthcare,2020-01-01,0,0,0,0,0
1002,Aetna,EMEA,Strategic,Healthcare,2020-01-01,0,0,0,0,0
1003,Allstate,APJ,SMB,Finance,2020-01-01,0,0,0,0,0
1003,Allstate,AMER,SMB,Finance,2020-01-01,0,0,0,0,0
1003,Allstate,EMEA,SMB,Finance,2020-01-01,0,0,0,0,0
1003,Allstate,EMEA,Strategic,Finance,2020-01-01,0,0,0,0,0
1003,Allstate,AMER,Strategic,Finance,2020-01-01,0,0,0,0,0
1003,Allstate,AMER,Enterprise,Finance,2020-01-01,0,0,0,0,0
1003,Allstate,APJ,Strategic,Finance,2020-01-01,0,0,0,0,0
1003,Allstate,APJ,Enterprise,Finance,2020-01-01,0,0,0,0,0
1003,Allstate,EMEA,Enterprise,Finance,2020-01-01,0,0,0,0,0
1004,Amazon,AMER,SMB,Tech,2020-01-01,1679.749,1679.749,0,0,0
1004,Amazon,APJ,SMB,Tech,2020-01-01,0,0,0,0,1679.749
1004,Amazon,EMEA,Strategic,Tech,2020-01-01,0,0,0,0,0
1004,Amazon,APJ,Strategic,Tech,2020-01-01,0,0,0,0,0
1004,Amazon,EMEA,SMB,Tech,2020-01-01,0,0,0,0,0
1004,Amazon,AMER,Strategic,Tech,2020-01-01,0,0,0,0,0
1005,"American Express",AMER,SMB,Finance,2020-01-01,0,0,0,0,0
1005,"American Express",EMEA,Strategic,Finance,2020-01-01,0,0,0,0,0
1005,"American Express",AMER,Strategic,Finance,2020-01-01,0,0,0,0,0
1005,"American Express",EMEA,SMB,Finance,2020-01-01,0,0,0,0,0
1005,"American Express",APJ,Strategic,Finance,2020-01-01,0,0,0,0,0
1005,"American Express",APJ,SMB,Finance,2020-01-01,0,0,0,0,0
1006,Aviva,EMEA,SMB,Finance,2020-01-01,149.95,149.95,0,0,0
1006,Aviva,AMER,SMB,Finance,2020-01-01,0,0,0,0,149.95
1006,Aviva,AMER,Strategic,Finance,2020-01-01,0,0,0,0,0
1006,Aviva,EMEA,Strategic,Finance,2020-01-01,0,0,0,0,0
