Customer ID,Customer,order_month,Region,Segment,Industry,Product,Sales
1017,Chevron,2022-11-01,EMEA,SMB,Energy,Marketing Suite,261.96
1017,Chevron,2022-11-01,EMEA,SMB,Energy,FinanceHub,731.94
1056,Phillips 66,2022-06-01,AMER,Strategic,Energy,FinanceHub,14.62
1031,Royal Dutch Shell,2021-10-01,EMEA,SMB,Energy,ContactMatcher,957.5775
1031,Royal Dutch Shell,2021-10-01,EMEA,SMB,Energy,Marketing Suite - Gold,22.368
1065,BNP Paribas,2020-06-01,AMER,SMB,Finance,SaaS Connector Pack,48.86
1065,BNP Paribas,2020-06-01,AMER,SMB,Finance,ChatBot Plugin,7.28
1065,BNP Paribas,2020-06-01,AMER,SMB,Finance,Site Analytics,907.152
1065,BNP Paribas,2020-06-01,AMER,SMB,Finance,ContactMatcher,18.504
1065,BNP Paribas,2020-06-01,AMER,SMB,Finance,OneView,114.9
1065,BNP Paribas,2020-06-01,AMER,SMB,Finance,ContactMatcher,1706.184
1065,BNP Paribas,2020-06-01,AMER,SMB,Finance,Site Analytics,911.424
1062,Engie,2023-04-01,EMEA,SMB,Energy,Support,15.552
1066,Microsoft,2022-12-01,AMER,SMB,Tech,ContactMatcher,407.976
1074,Pfizer,2021-11-01,APJ,Enterprise,Healthcare,OneView,68.81
1074,Pfizer,2021-11-01,APJ,Enterprise,Healthcare,ContactMatcher,2.544
1087,Toyota Motor,2020-11-01,EMEA,SMB,Manufacturing,Marketing Suite - Gold,665.88
1047,Home Depot,2020-05-01,EMEA,SMB,Retail,Marketing Suite - Gold,55.5
1099,Wells Fargo,2020-08-01,AMER,SMB,Finance,ChatBot Plugin,8.56
1099,Wells Fargo,2020-08-01,AMER,SMB,Finance,Site Analytics,213.48
1099,Wells Fargo,2020-08-01,AMER,SMB,Finance,ContactMatcher,22.72
1048,Carrefour,2022-12-01,AMER,Strategic,Retail,ChatBot Plugin,19.46
1048,Carrefour,2022-12-01,AMER,Strategic,Retail,OneView,60.34
1025,Costco Wholesale,2023-07-01,EMEA,SMB,Retail,FinanceHub,71.372
1063,McKesson,2021-09-01,EMEA,SMB,Consumer Products,ContactMatcher,1044.63
1043,Siemens,2022-01-01,AMER,SMB,Manufacturing,ContactMatcher,11.648
1043,Siemens,2022-01-01,AMER,SMB,Manufacturing,Data Smasher,90.57
1051,Intel,2021-09-01,EMEA,SMB,Tech,Marketing Suite,3083.43
1051,Intel,2021-09-01,EMEA,SMB,Tech,ContactMatcher,9.618
1051,Intel,2021-09-01,EMEA,SMB,Tech,SaaS Connector Pack,124.2
1051,Intel,2021-09-01,EMEA,SMB,Tech,SaaS Connector Pack - Gold,3.264
1051,Intel,2021-09-01,EMEA,SMB,Tech,ChatBot Plugin,86.304
1051,Intel,2021-09-01,EMEA,SMB,Tech,ContactMatcher,6.858
1051,Intel,2021-09-01,EMEA,SMB,Tech,ChatBot Plugin,15.76
1083,Glencore,2023-10-01,APJ,Enterprise,Misc,Support,29.472
1077,Procter & Gamble,2022-12-01,APJ,Strategic,Consumer Products,Site Analytics,1097.544
1077,Procter & Gamble,2022-12-01,APJ,Strategic,Consumer Products,SaaS Connector Pack,190.92
1101,Banco Santander,2021-12-01,APJ,Enterprise,Finance,SaaS Connector Pack - Gold,113.328
1101,Banco Santander,2021-12-01,APJ,Enterprise,Finance,Marketing Suite,532.3992
1101,Banco Santander,2021-12-01,APJ,Enterprise,Finance,FinanceHub,212.058
1101,Banco Santander,2021-12-01,APJ,Enterprise,Finance,Site Analytics,371.168
1058,Pemex,2023-09-01,APJ,Strategic,Energy,Site Analytics,147.168
1043,Siemens,2022-07-01,AMER,Strategic,Manufacturing,Marketing Suite - Gold,77.88
1015,Samsung Electronics,2023-09-01,EMEA,Strategic,Tech,Marketing Suite - Gold,95.616
1028,Sony,2022-03-01,EMEA,Strategic,Tech,Data Smasher,45.98
1028,Sony,2022-03-01,EMEA,Strategic,Tech,ContactMatcher,17.46
1068,Morgan Stanley,2020-10-01,AMER,SMB,Finance,Marketing Suite - Gold,211.96
1011,Bank of America Corp.,2022-06-01,APJ,SMB,Finance,Data Smasher,45.0
1011,Bank of America Corp.,2022-06-01,APJ,SMB,Finance,Site Analytics,21.8
1043,Siemens,2021-04-01,APJ,SMB,Manufacturing,ContactMatcher,38.22
1043,Siemens,2021-04-01,APJ,SMB,Manufacturing,FinanceHub,75.18
1043,Siemens,2021-04-01,APJ,SMB,Manufacturing,SaaS Connector Pack,6.16
1043,Siemens,2021-04-01,APJ,SMB,Manufacturing,FinanceHub,89.99
1059,Tesco,2022-12-01,EMEA,Strategic,Retail,Storage,15.26
1059,Tesco,2022-12-01,EMEA,Strategic,Retail,Site Analytics,1029.95
1006,Aviva,2022-06-01,EMEA,SMB,Finance,Marketing Suite - Gold,208.56
1006,Aviva,2022-06-01,EMEA,SMB,Finance,Support,32.4
1006,Aviva,2022-06-01,EMEA,SMB,Finance,FinanceHub,319.41
1006,Aviva,2022-06-01,EMEA,SMB,Finance,Support,14.56
1006,Aviva,2022-06-01,EMEA,SMB,Finance,Data Smasher,30.0
1006,Aviva,2022-06-01,EMEA,SMB,Finance,ContactMatcher,48.48
1006,Aviva,2022-06-01,EMEA,SMB,Finance,ChatBot Plugin,1.68
1067,Mondelez International,2021-11-01,AMER,SMB,Consumer Products,Data Smasher,13.98
1067,Mondelez International,2021-11-01,AMER,SMB,Consumer Products,ContactMatcher,25.824
1067,Mondelez International,2021-11-01,AMER,SMB,Consumer Products,Support,146.73
1067,Mondelez International,2021-11-01,AMER,SMB,Consumer Products,SaaS Connector Pack,79.76
1001,Abbott Laboratories,2021-04-01,APJ,Enterprise,Healthcare,FinanceHub,213.115
1068,Morgan Stanley,2020-12-01,AMER,Strategic,Finance,ChatBot Plugin,1113.024
1068,Morgan Stanley,2020-12-01,AMER,Strategic,Finance,Site Analytics,167.968
1035,Fannie Mae,2022-06-01,EMEA,SMB,Finance,Support,75.88
1002,Aetna,2022-09-01,EMEA,SMB,Healthcare,ContactMatcher,4.616
1051,Intel,2023-09-01,AMER,SMB,Tech,Support,19.05
1072,Oracle,2021-04-01,EMEA,SMB,Tech,FinanceHub,831.936
1072,Oracle,2021-04-01,EMEA,SMB,Tech,SaaS Connector Pack,97.04
1072,Oracle,2021-04-01,EMEA,SMB,Tech,Marketing Suite - Gold,72.784
1098,Nissan Motor,2023-12-01,APJ,Strategic,Transportation,ContactMatcher,1.248
1098,Nissan Motor,2023-12-01,APJ,Strategic,Transportation,SaaS Connector Pack,9.708
1098,Nissan Motor,2023-12-01,APJ,Strategic,Transportation,Marketing Suite - Gold,27.24
1072,Oracle,2020-11-01,APJ,SMB,Tech,SaaS Connector Pack,19.3
1088,Tyson Foods,2022-06-01,EMEA,Strategic,Consumer Products,OneView,208.16
1088,Tyson Foods,2022-06-01,EMEA,Strategic,Consumer Products,ContactMatcher,16.74
1094,Verizon Communications,2020-10-01,AMER,SMB,Communications,ChatBot Plugin,14.9
1094,Verizon Communications,2020-10-01,AMER,SMB,Communications,Marketing Suite - Gold,21.39
1032,Itochu,2021-09-01,EMEA,Strategic,Finance,SaaS Connector Pack - Gold,200.984
1031,Royal Dutch Shell,2023-11-01,APJ,Enterprise,Energy,Marketing Suite - Gold,230.376
1068,Morgan Stanley,2023-05-01,AMER,SMB,Finance,FinanceHub,301.96
1052,Daimler,2023-10-01,EMEA,SMB,Transportation,Data Smasher,19.99
1052,Daimler,2023-10-01,EMEA,SMB,Transportation,FinanceHub,6.16
1035,Fannie Mae,2022-04-01,APJ,Enterprise,Finance,Marketing Suite - Gold,158.368
1052,Daimler,2022-09-01,AMER,Strategic,Transportation,ChatBot Plugin,20.1
1052,Daimler,2022-09-01,AMER,Strategic,Transportation,Site Analytics,73.584
1052,Daimler,2022-09-01,AMER,Strategic,Transportation,Support,6.48
1068,Morgan Stanley,2021-01-01,EMEA,SMB,Finance,Support,12.96
1068,Morgan Stanley,2021-01-01,EMEA,SMB,Finance,SaaS Connector Pack,53.34
1068,Morgan Stanley,2021-01-01,EMEA,SMB,Finance,ContactMatcher,32.96
1095,Walgreens,2023-11-01,EMEA,Enterprise,Retail,ContactMatcher,5.682
1014,Boeing,2023-11-01,EMEA,Enterprise,Manufacturing,SaaS Connector Pack,96.53
1093,Valero Energy,2023-06-01,AMER,SMB,Energy,ContactMatcher,51.312
1089,Nestle,2022-09-01,EMEA,Strategic,Consumer Products,OneView,77.88
1075,Philip Morris International,2022-08-01,APJ,Enterprise,Consumer Products,Support,64.624
1075,Philip Morris International,2022-08-01,APJ,Enterprise,Consumer Products,Data Smasher,95.976
1075,Philip Morris International,2022-08-01,APJ,Enterprise,Consumer Products,ContactMatcher,1.788
1100,Trafigura Group,2022-12-01,EMEA,SMB,Finance,Support,23.92
1096,Walmart,2021-11-01,EMEA,SMB,Retail,Data Smasher,238.896
1096,Walmart,2021-11-01,EMEA,SMB,Retail,SaaS Connector Pack,102.36
1096,Walmart,2021-11-01,EMEA,SMB,Retail,ContactMatcher,36.882
1019,Cisco Systems,2023-11-01,EMEA,SMB,Tech,Data Smasher,74.112
1019,Cisco Systems,2023-11-01,EMEA,SMB,Tech,Site Analytics,27.992
1019,Cisco Systems,2023-11-01,EMEA,SMB,Tech,ChatBot Plugin,3.304
1098,Nissan Motor,2021-10-01,APJ,Enterprise,Transportation,Data Smasher,339.96
1078,Prudential Financial,2023-12-01,EMEA,Strategic,Finance,SaaS Connector Pack,41.96
1096,Walmart,2022-11-01,EMEA,SMB,Retail,ChatBot Plugin,75.96
1096,Walmart,2022-11-01,EMEA,SMB,Retail,ContactMatcher,27.24
1004,Amazon,2020-08-01,AMER,SMB,Tech,Storage,40.096
1004,Amazon,2020-08-01,AMER,SMB,Tech,SaaS Connector Pack - Gold,4.72
1004,Amazon,2020-08-01,AMER,SMB,Tech,Support,23.976
1004,Amazon,2020-08-01,AMER,SMB,Tech,SaaS Connector Pack - Gold,130.464
1100,Trafigura Group,2021-03-01,AMER,SMB,Finance,ContactMatcher,787.53
1027,Gazprom,2021-04-01,EMEA,Strategic,Energy,ContactMatcher,157.794
1002,Aetna,2022-06-01,APJ,SMB,Healthcare,SaaS Connector Pack,47.04
1002,Aetna,2022-06-01,APJ,SMB,Healthcare,ContactMatcher,30.84
1002,Aetna,2022-06-01,APJ,SMB,Healthcare,Marketing Suite - Gold,226.56
1002,Aetna,2022-06-01,APJ,SMB,Healthcare,SaaS Connector Pack - Gold,115.02
1002,Aetna,2022-06-01,APJ,SMB,Healthcare,Site Analytics,68.04
1036,FedEx,2020-12-01,APJ,Enterprise,Transportation,FinanceHub,600.558
1059,Tesco,2020-09-01,APJ,SMB,Retail,ContactMatcher,617.7
1045,Honda Motor,2023-11-01,AMER,SMB,Manufacturing,ContactMatcher,2.388
1045,Honda Motor,2023-11-01,AMER,SMB,Manufacturing,Marketing Suite - Gold,243.992
1078,Prudential Financial,2022-11-01,AMER,Enterprise,Finance,FinanceHub,81.424
