Customer ID,Customer,Region,Segment,Industry,order_month,mrr
1001,Abbott Laboratories,AMER,Enterprise,Healthcare,2020-01-01,0.0
1001,Abbott Laboratories,AMER,Enterprise,Healthcare,2020-02-01,0.0
1001,Abbott Laboratories,AMER,Enterprise,Healthcare,2020-03-01,0.0
1001,Abbott Laboratories,AMER,Enterprise,Healthcare,2020-04-01,294.71999999999997
1001,Abbott Laboratories,AMER,Enterprise,Healthcare,2020-05-01,0.0
1001,Abbott Laboratories,AMER,Enterprise,Healthcare,2020-06-01,0.0
1001,Abbott Laboratories,AMER,Enterprise,Healthcare,2020-07-01,0.0
1001,Abbott Laboratories,AMER,Enterprise,Healthcare,2020-08-01,0.0
1001,Abbott Laboratories,AMER,Enterprise,Healthcare,2020-09-01,0.0
1001,Abbott Laboratories,AMER,Enterprise,Healthcare,2020-10-01,0.0
1001,Abbott Laboratories,AMER,Enterprise,Healthcare,2020-11-01,0.0
1001,Abbott Laboratories,AMER,Enterprise,Healthcare,2020-12-01,0.0
1001,Abbott Laboratories,AMER,Enterprise,Healthcare,2021-01-01,0.0
1001,Abbott Laboratories,AMER,Enterprise,Healthcare,2021-02-01,0.0
1001,Abbott Laboratories,AMER,Enterprise,Healthcare,2021-03-01,0.0
1001,Abbott Laboratories,AMER,Enterprise,Healthcare,2021-04-01,0.0
1001,Abbott Laboratories,AMER,Enterprise,Healthcare,2021-05-01,191.968
1001,Abbott Laboratories,AMER,Enterprise,Healthcare,2021-06-01,0.0
1001,Abbott Laboratories,AMER,Enterprise,Healthcare,2021-07-01,0.0
1001,Abbott Laboratories,AMER,Enterprise,Healthcare,2021-08-01,0.0
1001,Abbott Laboratories,AMER,Enterprise,Healthcare,2021-09-01,0.0
1001,Abbott Laboratories,AMER,Enterprise,Healthcare,2021-10-01,299.9
1001,Abbott Laboratories,AMER,Enterprise,Healthcare,2021-11-01,0.0
1001,Abbott Laboratories,AMER,Enterprise,Healthcare,2021-12-01,0.0
1001,Abbott Laboratories,AMER,Enterprise,Healthcare,2022-01-01,0.0
1001,Abbott Laboratories,AMER,Enterprise,Healthcare,2022-02-01,0.0
1001,Abbott Laboratories,AMER,Enterprise,Healthcare,2022-03-01,0.0
1001,Abbott Laboratories,AMER,Enterprise,Healthcare,2022-04-01,0.0
1001,Abbott Laboratories,AMER,Enterprise,Healthcare,2022-05-01,0.0
1001,Abbott Laboratories,AMER,Enterprise,Healthcare,2022-06-01,0.0
1001,Abbott Laboratories,AMER,Enterprise,Healthcare,2022-07-01,0.0
1001,Abbott Laboratories,AMER,Enterprise,Healthcare,2022-08-01,0.0
1001,Abbott Laboratories,AMER,Enterprise,Healthcare,2022-09-01,0.0
1001,Abbott Laboratories,AMER,Enterprise,Healthcare,2022-10-01,0.0
1001,Abbott Laboratories,AMER,Enterprise,Healthcare,2022-11-01,0.0
